technique,year_start,year_end,num_groups,groups
Scheduled Task,2017,2019,18,"APT39, APT41, GALLIUM, Rancor, Silence, menuPass, Stealth Falcon, APT29, APT33, Patchwork, APT3, FIN6, APT32, FIN7, OilRig, Cobalt Group, FIN8, FIN10"
System Information Discovery,2017,2019,18,"Sowbug, Darkhotel, Stealth Falcon, APT19, APT18, APT3, Lazarus Group, admin@338, OilRig, Magic Hound, Ke3chang, Kimsuky, Gamaredon Group, Patchwork, APT32, Turla, APT37, MuddyWater"
System Information Discovery,2019,2021,18,"ZIRCONIUM, Wizard Spider, Darkhotel, APT18, Windshift, Kimsuky, Blue Mockingbird, APT38, Inception, Mustang Panda, Sidewinder, Rocke, Windigo, Tropic Trooper, TeamTNT, Higaisa, MuddyWater, Sandworm Team"
System Information Discovery,2020,2022,18,"ZIRCONIUM, Aquatic Panda, Wizard Spider, SideCopy, HEXANE, Windshift, Blue Mockingbird, APT38, Inception, Mustang Panda, Sidewinder, Rocke, Windigo, Tropic Trooper, TeamTNT, Moses Staff, Higaisa, Sandworm Team"
System Network Configuration Discovery,2017,2019,18,"Turla, Stealth Falcon, MuddyWater, GALLIUM, menuPass, OilRig, APT32, APT19, Darkhotel, APT1, admin@338, Threat Group-3390, Magic Hound, Lazarus Group, Ke3chang, Naikon, APT3, APT41"
Deobfuscate/Decode Files or Information,2018,2020,17,"Threat Group-3390, menuPass, Leviathan, Sandworm Team, OilRig, WIRTE, APT19, APT28, Molerats, Gorgon Group, Rocke, MuddyWater, Darkhotel, Tropic Trooper, Turla, Gamaredon Group, BRONZE BUTLER"
Domains,2024,2026,17,"Mustard Tempest, CURIUM, APT-C-36, Contagious Interview, MuddyWater, Star Blizzard, Scattered Spider, Storm-1811, Sea Turtle, APT38, OilRig, Moonstone Sleet, Winter Vivern, APT42, RedEcho, WIRTE, VOID MANTICORE"
Exploit Public-Facing Application,2024,2026,17,"Salt Typhoon, Sea Turtle, MirrorFace, UNC3886, BlackByte, Medusa Group, Leviathan, Play, VOID MANTICORE, Sandworm Team, APT5, Winter Vivern, Storm-0501, Agrius, ToddyCat, Ember Bear, INC Ransom"
Ingress Tool Transfer,2023,2025,17,"Storm-1811, Metador, Medusa Group, TA2541, Volt Typhoon, Cinnamon Tempest, Wizard Spider, Daggerfly, Play, Winter Vivern, INC Ransom, Mustard Tempest, Scattered Spider, Moonstone Sleet, FIN13, BlackByte, LuminousMoth"
Match Legitimate Resource Name or Location,2023,2025,17,"LuminousMoth, ToddyCat, OilRig, Turla, Volt Typhoon, TA2541, FIN13, Velvet Ant, INC Ransom, Storm-1811, Ember Bear, RedCurl, Aquatic Panda, Akira, Mustard Tempest, APT5, APT42"
System Information Discovery,2018,2020,17,"Sowbug, Wizard Spider, Darkhotel, APT19, APT18, APT3, OilRig, Magic Hound, Kimsuky, Blue Mockingbird, Inception, Rocke, APT32, Tropic Trooper, APT37, MuddyWater, Sandworm Team"
System Information Discovery,2022,2024,17,"Aquatic Panda, Moonstone Sleet, SideCopy, Winter Vivern, HEXANE, TA2541, BlackByte, Mustard Tempest, CURIUM, Daggerfly, APT41, Malteiro, FIN13, RedCurl, Moses Staff, Play, FIN8"
System Information Discovery,2024,2026,17,"MirrorFace, APT42, Moonstone Sleet, Winter Vivern, Contagious Interview, BlackByte, VOID MANTICORE, Medusa Group, Scattered Spider, CURIUM, Daggerfly, APT41, Malteiro, FIN7, RedCurl, Play, Storm-0501"
Valid Accounts,2017,2019,17,"FIN8, APT41, Carbanak, FIN6, APT28, OilRig, menuPass, Suckfly, Threat Group-3390, APT39, APT33, FIN5, PittyTiger, APT18, FIN10, FIN4, GALLIUM"
Windows Command Shell,2022,2024,17,"Cinnamon Tempest, ToddyCat, Winter Vivern, Agrius, HAFNIUM, Kimsuky, Volt Typhoon, TA577, Saint Bear, INC Ransom, Aquatic Panda, BlackByte, APT5, Metador, RedCurl, FIN13, Play"
Windows Command Shell,2024,2026,17,"Cinnamon Tempest, WIRTE, ToddyCat, Winter Vivern, Agrius, UNC3886, TA577, Medusa Group, Saint Bear, INC Ransom, Storm-1811, Contagious Interview, MirrorFace, BlackByte, APT5, RedCurl, Play"
Archive via Utility,2017,2019,16,"APT3, APT41, APT1, BRONZE BUTLER, menuPass, CopyKittens, FIN8, Ke3chang, Turla, Sowbug, MuddyWater, APT33, APT39, Gallmaker, Magic Hound, GALLIUM"
DLL,2021,2023,16,"BackdoorDiplomacy, Higaisa, Chimera, Evilnum, FIN13, Aquatic Panda, Lazarus Group, BlackTech, LuminousMoth, SideCopy, Cinnamon Tempest, Sidewinder, Mustang Panda, Earth Lusca, Tonto Team, MuddyWater"
Data from Local System,2019,2021,16,"Turla, FIN7, Sandworm Team, Dragonfly, APT38, APT41, APT39, GALLIUM, menuPass, Gamaredon Group, Kimsuky, FIN6, Andariel, Inception, Windigo, Fox Kitten"
Data from Local System,2021,2023,16,"Volt Typhoon, Wizard Spider, FIN7, Dragonfly, APT38, APT41, LAPSUS$, Magic Hound, HAFNIUM, FIN13, Andariel, LuminousMoth, Axiom, APT29, Windigo, CURIUM"
Data from Local System,2022,2024,16,"Volt Typhoon, Wizard Spider, OilRig, Agrius, Aquatic Panda, LAPSUS$, Magic Hound, HAFNIUM, FIN13, LuminousMoth, RedCurl, Axiom, APT29, ToddyCat, Ember Bear, CURIUM"
Exploit Public-Facing Application,2021,2023,16,"FIN7, BackdoorDiplomacy, Kimsuky, Ke3chang, menuPass, Volatile Cedar, MuddyWater, Volt Typhoon, Dragonfly, Magic Hound, Moses Staff, Threat Group-3390, FIN13, HAFNIUM, Cinnamon Tempest, Earth Lusca"
File and Directory Discovery,2017,2019,16,"admin@338, Dark Caracal, APT3, BRONZE BUTLER, Ke3chang, Magic Hound, Sowbug, Leafminer, MuddyWater, APT28, Kimsuky, APT18, Lazarus Group, APT32, Patchwork, Turla"
JavaScript,2020,2022,16,"LazyScripter, Cobalt Group, FIN7, Silence, Turla, FIN6, TA505, Evilnum, Sidewinder, Earth Lusca, APT32, MuddyWater, Indrik Spider, Kimsuky, Molerats, Higaisa"
Keylogging,2017,2019,16,"Sowbug, Lazarus Group, menuPass, Group5, APT41, Kimsuky, Darkhotel, OilRig, Threat Group-3390, APT3, APT38, PLATINUM, APT28, Magic Hound, FIN4, Ke3chang"
Match Legitimate Resource Name or Location,2018,2020,16,"MuddyWater, Sowbug, Sandworm Team, BRONZE BUTLER, PROMETHIUM, Blue Mockingbird, APT39, Whitefly, Tropic Trooper, Machete, Fox Kitten, Chimera, Silence, Rocke, menuPass, APT41"
Remote System Discovery,2018,2020,16,"Wizard Spider, Ke3chang, Threat Group-3390, Deep Panda, APT3, GALLIUM, APT39, BRONZE BUTLER, Rocke, FIN5, Sandworm Team, FIN8, Fox Kitten, APT32, Silence, Leafminer"
Scheduled Task,2022,2024,16,"Magic Hound, Winter Vivern, BlackByte, Moonstone Sleet, TA2541, Sandworm Team, HEXANE, ToddyCat, RedCurl, Daggerfly, FIN13, Ember Bear, Kimsuky, BITTER, LuminousMoth, Lazarus Group"
System Information Discovery,2021,2023,16,"ZIRCONIUM, Aquatic Panda, SideCopy, HEXANE, TA2541, Mustard Tempest, Windshift, APT38, Mustang Panda, Sidewinder, Windigo, FIN13, TeamTNT, Moses Staff, Higaisa, FIN8"
System Owner/User Discovery,2017,2019,16,"Gamaredon Group, FIN10, APT39, Stealth Falcon, Lazarus Group, APT41, APT37, GALLIUM, Tropic Trooper, OilRig, APT3, APT32, Magic Hound, APT19, MuddyWater, Patchwork"
Upload Malware,2021,2023,16,"TA2541, Threat Group-3390, LuminousMoth, APT32, FIN7, TA505, Gamaredon Group, Mustang Panda, LazyScripter, BITTER, TeamTNT, SideCopy, EXOTIC LILY, Kimsuky, HEXANE, Earth Lusca"
Web Services,2020,2022,16,"Earth Lusca, Turla, Magic Hound, APT29, POLONIUM, IndigoZebra, APT17, MuddyWater, Kimsuky, Lazarus Group, ZIRCONIUM, Confucius, LazyScripter, HAFNIUM, APT32, APT28"
Web Shell,2019,2021,16,"Kimsuky, Fox Kitten, Volatile Cedar, GALLIUM, HAFNIUM, Threat Group-3390, APT29, Tonto Team, Leviathan, Sandworm Team, APT39, APT38, Dragonfly, APT28, Tropic Trooper, BackdoorDiplomacy"
Windows Command Shell,2021,2023,16,"Higaisa, ZIRCONIUM, Chimera, LazyScripter, HAFNIUM, Kimsuky, Mustang Panda, Volt Typhoon, Nomadic Octopus, Aquatic Panda, TeamTNT, Indrik Spider, TA551, Metador, FIN13, Dragonfly"
Archive via Utility,2018,2020,15,"Chimera, APT3, APT41, BRONZE BUTLER, CopyKittens, Fox Kitten, FIN8, Turla, Sowbug, MuddyWater, APT33, APT39, Gallmaker, Magic Hound, GALLIUM"
DLL,2019,2021,15,"Naikon, BackdoorDiplomacy, Higaisa, RTM, Chimera, Evilnum, BlackTech, Tropic Trooper, Sidewinder, Mustang Panda, GALLIUM, Tonto Team, BRONZE BUTLER, APT41, Whitefly"
Data from Local System,2017,2019,15,"Turla, Patchwork, Stealth Falcon, GALLIUM, menuPass, Lazarus Group, BRONZE BUTLER, Threat Group-3390, Kimsuky, APT37, APT28, APT3, Ke3chang, APT1, Dark Caracal"
Data from Local System,2018,2020,15,"Turla, Sandworm Team, APT39, GALLIUM, menuPass, BRONZE BUTLER, Gamaredon Group, Kimsuky, APT37, FIN6, APT28, APT3, Inception, Fox Kitten, Dark Caracal"
Data from Local System,2020,2022,15,"FIN7, Sandworm Team, Dragonfly, APT38, APT41, APT39, Gamaredon Group, LAPSUS$, Magic Hound, FIN6, Andariel, Axiom, Inception, Windigo, Fox Kitten"
Disable or Modify Tools,2023,2025,15,"APT38, Velvet Ant, INC Ransom, Akira, Medusa Group, BlackByte, Saint Bear, TA2541, UNC3886, APT5, APT41, Play, Contagious Interview, Scattered Spider, Agrius"
Disable or Modify Tools,2024,2026,15,"APT38, Velvet Ant, INC Ransom, Akira, Medusa Group, BlackByte, Saint Bear, UNC3886, APT5, APT41, Play, MirrorFace, Contagious Interview, Scattered Spider, Agrius"
Domain Account,2023,2025,15,"RedCurl, Mustang Panda, Storm-0501, FIN13, Scattered Spider, APT41, Storm-1811, BlackByte, FIN7, Medusa Group, Lotus Blossom, Volt Typhoon, INC Ransom, ToddyCat, Wizard Spider"
Domains,2023,2025,15,"Mustard Tempest, CURIUM, Contagious Interview, Star Blizzard, Scattered Spider, Storm-1811, Sea Turtle, Threat Group-3390, APT38, TA2541, OilRig, Moonstone Sleet, Winter Vivern, APT42, RedEcho"
Email Accounts,2022,2024,15,"Wizard Spider, EXOTIC LILY, Lazarus Group, TA577, Star Blizzard, CURIUM, Kimsuky, LAPSUS$, Indrik Spider, Mustang Panda, OilRig, HEXANE, Moonstone Sleet, APT28, APT29"
Encrypted/Encoded File,2019,2021,15,"TA505, Inception, Transparent Tribe, APT33, APT39, TeamTNT, APT18, Fox Kitten, Mofang, Darkhotel, Sidewinder, Higaisa, Tropic Trooper, Whitefly, Blue Mockingbird"
Exploit Public-Facing Application,2019,2021,15,"BackdoorDiplomacy, APT41, APT39, Fox Kitten, GALLIUM, menuPass, Volatile Cedar, Dragonfly, Blue Mockingbird, BlackTech, APT29, APT28, HAFNIUM, GOLD SOUTHFIELD, Rocke"
File and Directory Discovery,2023,2025,15,"Medusa Group, FIN13, ToddyCat, RedCurl, APT5, HAFNIUM, UNC3886, Scattered Spider, Contagious Interview, Play, Lotus Blossom, Volt Typhoon, LuminousMoth, Velvet Ant, Winter Vivern"
LSASS Memory,2019,2021,15,"Fox Kitten, Sandworm Team, GALLIUM, APT33, HAFNIUM, Threat Group-3390, APT39, Indrik Spider, Kimsuky, APT41, Leviathan, APT32, Whitefly, Silence, Blue Mockingbird"
Malicious File,2022,2024,15,"RedCurl, CURIUM, EXOTIC LILY, LazyScripter, Malteiro, Saint Bear, WIRTE, Earth Lusca, BITTER, Aoqin Dragon, Star Blizzard, Moonstone Sleet, SideCopy, HEXANE, TA2541"
Match Legitimate Resource Name or Location,2024,2026,15,"ToddyCat, OilRig, Turla, VOID MANTICORE, Velvet Ant, APT-C-36, INC Ransom, Storm-1811, Ember Bear, RedCurl, Aquatic Panda, Akira, Mustard Tempest, APT5, APT42"
Scheduled Task,2021,2023,15,"Magic Hound, APT37, TA2541, HEXANE, Dragonfly, Naikon, Confucius, FIN13, Mustang Panda, Kimsuky, BITTER, Higaisa, APT38, LuminousMoth, Lazarus Group"
Spearphishing Link,2022,2024,15,"Moonstone Sleet, Earth Lusca, LuminousMoth, Mustang Panda, Lazarus Group, RedCurl, Star Blizzard, TA2541, APT28, EXOTIC LILY, CURIUM, Patchwork, ZIRCONIUM, TA577, Mustard Tempest"
System Network Configuration Discovery,2019,2021,15,"MuddyWater, Chimera, GALLIUM, Mustang Panda, Higaisa, APT32, Darkhotel, APT1, Sidewinder, TeamTNT, Tropic Trooper, ZIRCONIUM, Dragonfly, APT41, Wizard Spider"
System Network Configuration Discovery,2021,2023,15,"Volt Typhoon, Chimera, SideCopy, FIN13, Mustang Panda, Higaisa, Moses Staff, Sidewinder, HEXANE, TeamTNT, ZIRCONIUM, Earth Lusca, HAFNIUM, Dragonfly, Kimsuky"
System Owner/User Discovery,2021,2023,15,"Chimera, Threat Group-3390, HAFNIUM, Windshift, FIN7, Sidewinder, Volt Typhoon, APT38, Dragonfly, FIN8, Earth Lusca, LuminousMoth, Ke3chang, ZIRCONIUM, HEXANE"
Valid Accounts,2022,2024,15,"Axiom, LAPSUS$, Star Blizzard, BlackByte, APT29, Sea Turtle, Lazarus Group, Play, POLONIUM, Cinnamon Tempest, INC Ransom, Akira, Ke3chang, Volt Typhoon, Indrik Spider"
Visual Basic,2021,2023,15,"Lazarus Group, Confucius, FIN13, Earth Lusca, HEXANE, OilRig, Higaisa, Windshift, Transparent Tribe, Mustang Panda, LazyScripter, TA2541, SideCopy, Sidewinder, APT38"
Web Protocols,2021,2023,15,"Confucius, Metador, Sidewinder, Windshift, HAFNIUM, TeamTNT, LuminousMoth, Chimera, FIN8, BITTER, Kimsuky, TA551, Higaisa, FIN13, Mustang Panda"
Archive via Utility,2022,2024,14,"ToddyCat, Sea Turtle, Wizard Spider, FIN13, APT5, RedCurl, Kimsuky, Volt Typhoon, Earth Lusca, Akira, Agrius, Aquatic Panda, INC Ransom, Play"
Domain Account,2024,2026,14,"VOID MANTICORE, RedCurl, Mustang Panda, Storm-0501, Scattered Spider, MirrorFace, APT41, Storm-1811, BlackByte, FIN7, Medusa Group, Lotus Blossom, INC Ransom, ToddyCat"
Drive-by Compromise,2020,2022,14,"Transparent Tribe, Windshift, Leviathan, Windigo, RTM, APT28, Magic Hound, Earth Lusca, PROMETHIUM, Axiom, Andariel, Dragonfly, Machete, Turla"
Email Accounts,2020,2022,14,"Leviathan, EXOTIC LILY, Lazarus Group, Silent Librarian, APT1, Kimsuky, LAPSUS$, Mustang Panda, Sandworm Team, Magic Hound, HEXANE, IndigoZebra, APT28, APT29"
Email Accounts,2021,2023,14,"Wizard Spider, Leviathan, EXOTIC LILY, Lazarus Group, Silent Librarian, Kimsuky, LAPSUS$, Indrik Spider, Mustang Panda, Magic Hound, HEXANE, IndigoZebra, APT28, APT29"
Exfiltration to Cloud Storage,2022,2024,14,"POLONIUM, Cinnamon Tempest, Ember Bear, LuminousMoth, HEXANE, Indrik Spider, Earth Lusca, Wizard Spider, Kimsuky, Akira, Scattered Spider, ToddyCat, Confucius, Threat Group-3390"
Exploitation for Client Execution,2021,2023,14,"Aoqin Dragon, BITTER, Transparent Tribe, Higaisa, Darkhotel, Axiom, Andariel, EXOTIC LILY, Confucius, APT3, Tonto Team, Sidewinder, Dragonfly, Mustang Panda"
File and Directory Discovery,2021,2023,14,"Dragonfly, Aoqin Dragon, FIN13, Darkhotel, Windigo, TeamTNT, HAFNIUM, Chimera, APT38, Sidewinder, Confucius, LuminousMoth, Mustang Panda, Winnti Group"
Financial Theft,2023,2025,14,"AppleJeus, Malteiro, Storm-0501, Medusa Group, INC Ransom, Water Galura, Contagious Interview, Cinnamon Tempest, FIN13, SilverTerrier, Play, Scattered Spider, Akira, Kimsuky"
Impersonation,2024,2026,14,"WIRTE, Scattered Spider, Kimsuky, APT41, Star Blizzard, Saint Bear, Storm-1811, APT42, Contagious Interview, MuddyWater, APT28, APT-C-36, VOID MANTICORE, MirrorFace"
Malicious Link,2022,2024,14,"TA2541, LazyScripter, Kimsuky, TA577, Saint Bear, RedCurl, Mustard Tempest, LuminousMoth, Daggerfly, EXOTIC LILY, Winter Vivern, TA578, Gamaredon Group, Earth Lusca"
Masquerade Task or Service,2020,2022,14,"BackdoorDiplomacy, Kimsuky, Wizard Spider, Higaisa, ZIRCONIUM, Naikon, Fox Kitten, APT32, PROMETHIUM, APT-C-36, Lazarus Group, APT41, BITTER, Carbanak"
Process Discovery,2019,2021,14,"Chimera, Windshift, Rocke, Mustang Panda, TeamTNT, Andariel, Sidewinder, Darkhotel, Tropic Trooper, Inception, Higaisa, APT38, MuddyWater, APT1"
Registry Run Keys / Startup Folder,2021,2023,14,"Confucius, TA2541, Dragonfly, LuminousMoth, Windshift, TeamTNT, Naikon, Sidewinder, ZIRCONIUM, APT28, FIN13, LazyScripter, Mustang Panda, Higaisa"
Remote Desktop Protocol,2017,2019,14,"Leviathan, APT1, FIN8, APT3, OilRig, Patchwork, FIN10, Axiom, Cobalt Group, APT41, APT39, Lazarus Group, FIN6, menuPass"
Remote System Discovery,2017,2019,14,"Ke3chang, Threat Group-3390, Deep Panda, APT3, Turla, GALLIUM, FIN6, APT39, BRONZE BUTLER, FIN5, menuPass, FIN8, APT32, Leafminer"
Remote System Discovery,2023,2025,14,"Agrius, Mustang Panda, HAFNIUM, Lotus Blossom, Play, ToddyCat, Akira, APT41, Scattered Spider, BlackByte, Ember Bear, Magic Hound, Medusa Group, Volt Typhoon"
Scheduled Task,2023,2025,14,"Winter Vivern, BlackByte, Moonstone Sleet, TA2541, Sandworm Team, APT42, Earth Lusca, ToddyCat, RedCurl, Daggerfly, FIN13, Ember Bear, Storm-0501, LuminousMoth"
Spearphishing Link,2023,2025,14,"Storm-1811, Moonstone Sleet, LuminousMoth, Mustang Panda, RedCurl, Star Blizzard, TA2541, Scattered Spider, CURIUM, Patchwork, ZIRCONIUM, TA577, APT42, Mustard Tempest"
System Network Configuration Discovery,2020,2022,14,"Chimera, SideCopy, Mustang Panda, Higaisa, Moses Staff, Sidewinder, HEXANE, TeamTNT, Tropic Trooper, ZIRCONIUM, Earth Lusca, Dragonfly, Kimsuky, Wizard Spider"
Valid Accounts,2020,2022,14,"Axiom, LAPSUS$, Dragonfly, FIN7, Silence, Silent Librarian, Lazarus Group, POLONIUM, Sandworm Team, Fox Kitten, Ke3chang, Wizard Spider, Leviathan, Chimera"
Web Services,2021,2023,14,"Earth Lusca, Magic Hound, POLONIUM, IndigoZebra, MuddyWater, FIN7, Kimsuky, Lazarus Group, TA2541, ZIRCONIUM, Confucius, LazyScripter, HAFNIUM, APT28"
Web Shell,2020,2022,14,"Kimsuky, Fox Kitten, Volatile Cedar, HAFNIUM, APT29, Tonto Team, Magic Hound, Sandworm Team, Moses Staff, APT38, Dragonfly, APT28, Tropic Trooper, BackdoorDiplomacy"
Windows Management Instrumentation,2017,2019,14,"APT29, APT41, OilRig, FIN8, menuPass, Deep Panda, FIN6, APT32, Lazarus Group, Threat Group-3390, Leviathan, Stealth Falcon, MuddyWater, GALLIUM"
Windows Management Instrumentation,2019,2021,14,"Sandworm Team, APT41, Windshift, Wizard Spider, Naikon, Mustang Panda, FIN6, FIN7, APT32, Chimera, Indrik Spider, Blue Mockingbird, MuddyWater, GALLIUM"
Windows Service,2018,2020,14,"APT19, DarkVishnya, APT3, APT41, Cobalt Group, Wizard Spider, Ke3chang, Kimsuky, Tropic Trooper, FIN7, APT32, PROMETHIUM, Threat Group-3390, Blue Mockingbird"
Archive via Utility,2023,2025,13,"ToddyCat, Sea Turtle, Wizard Spider, FIN13, APT5, Lotus Blossom, RedCurl, Volt Typhoon, Akira, Agrius, INC Ransom, UNC3886, Play"
Credentials from Web Browsers,2019,2021,13,"Sandworm Team, Kimsuky, Inception, FIN6, MuddyWater, TA505, APT33, Stealth Falcon, ZIRCONIUM, Ajax Security Team, OilRig, APT3, Leafminer"
Data from Local System,2023,2025,13,"Volt Typhoon, Wizard Spider, OilRig, Agrius, Aquatic Panda, HAFNIUM, FIN13, LuminousMoth, RedCurl, APT29, ToddyCat, Ember Bear, CURIUM"
Deobfuscate/Decode Files or Information,2020,2022,13,"Kimsuky, Sandworm Team, TA505, ZIRCONIUM, Higaisa, Molerats, Lazarus Group, Ke3chang, Rocke, Earth Lusca, APT39, Gamaredon Group, TeamTNT"
Deobfuscate/Decode Files or Information,2022,2024,13,"Kimsuky, TA505, Winter Vivern, Agrius, FIN13, Malteiro, Lazarus Group, Ke3chang, Earth Lusca, Moonstone Sleet, Cinnamon Tempest, BlackByte, TeamTNT"
Exfiltration to Cloud Storage,2021,2023,13,"POLONIUM, Cinnamon Tempest, FIN7, LuminousMoth, HEXANE, Earth Lusca, Wizard Spider, Kimsuky, Chimera, HAFNIUM, Confucius, Threat Group-3390, ZIRCONIUM"
File Deletion,2020,2022,13,"Rocke, Gamaredon Group, Mustang Panda, Chimera, Wizard Spider, FIN6, APT39, Evilnum, Aquatic Panda, Tropic Trooper, TeamTNT, Dragonfly, Sandworm Team"
File and Directory Discovery,2022,2024,13,"Aoqin Dragon, FIN13, ToddyCat, RedCurl, TeamTNT, APT5, HAFNIUM, Scattered Spider, Play, Volt Typhoon, LuminousMoth, Winnti Group, Winter Vivern"
File and Directory Discovery,2024,2026,13,"Medusa Group, ToddyCat, RedCurl, APT5, UNC3886, Scattered Spider, Contagious Interview, Play, Lotus Blossom, Volt Typhoon, Velvet Ant, MirrorFace, Winter Vivern"
Keylogging,2018,2020,13,"Sowbug, menuPass, APT32, APT41, Kimsuky, APT39, OilRig, Sandworm Team, APT38, PLATINUM, Magic Hound, FIN4, Ke3chang"
Local Account,2020,2022,13,"Fox Kitten, Magic Hound, Turla, Poseidon Group, Dragonfly, Moses Staff, Kimsuky, OilRig, Ke3chang, APT32, TeamTNT, Chimera, APT39"
Masquerade Task or Service,2019,2021,13,"BackdoorDiplomacy, Kimsuky, FIN6, Wizard Spider, Higaisa, ZIRCONIUM, Naikon, Fox Kitten, APT32, PROMETHIUM, APT-C-36, APT41, Carbanak"
Modify Registry,2018,2020,13,"APT19, Gamaredon Group, Silence, APT41, FIN8, APT38, Patchwork, Gorgon Group, Kimsuky, Wizard Spider, APT32, Threat Group-3390, Blue Mockingbird"
Process Discovery,2020,2022,13,"Chimera, Windshift, Rocke, Mustang Panda, TeamTNT, HEXANE, Andariel, Sidewinder, Kimsuky, Gamaredon Group, Inception, Higaisa, Earth Lusca"
Process Discovery,2021,2023,13,"Volt Typhoon, Chimera, Windshift, Mustang Panda, TeamTNT, HEXANE, Andariel, Sidewinder, Kimsuky, Gamaredon Group, HAFNIUM, Higaisa, Earth Lusca"
Remote System Discovery,2022,2024,13,"Agrius, HAFNIUM, Play, ToddyCat, Akira, APT41, Scattered Spider, BlackByte, Ember Bear, HEXANE, Earth Lusca, Magic Hound, Volt Typhoon"
System Network Connections Discovery,2017,2019,13,"Turla, admin@338, APT41, APT38, OilRig, menuPass, Ke3chang, Threat Group-3390, APT32, Poseidon Group, APT3, APT1, GALLIUM"
System Network Connections Discovery,2019,2021,13,"TeamTNT, APT41, APT38, Mustang Panda, Tropic Trooper, BackdoorDiplomacy, APT32, MuddyWater, Andariel, Chimera, APT1, GALLIUM, Sandworm Team"
System Owner/User Discovery,2019,2021,13,"Chimera, Windshift, Sidewinder, Wizard Spider, APT39, APT38, Dragonfly, Sandworm Team, APT41, GALLIUM, Tropic Trooper, MuddyWater, ZIRCONIUM"
Valid Accounts,2018,2020,13,"FIN8, APT41, OilRig, Silence, APT39, APT33, FIN5, Sandworm Team, Fox Kitten, Wizard Spider, FIN4, Chimera, GALLIUM"
Valid Accounts,2019,2021,13,"APT41, Dragonfly, FIN7, Silence, Silent Librarian, APT39, Sandworm Team, Fox Kitten, Wizard Spider, Leviathan, FIN4, Chimera, GALLIUM"
Valid Accounts,2023,2025,13,"Star Blizzard, Medusa Group, BlackByte, UNC3886, APT29, Sea Turtle, Play, Scattered Spider, Cinnamon Tempest, INC Ransom, Akira, Volt Typhoon, Indrik Spider"
Virtual Private Server,2024,2026,13,"Gamaredon Group, APT28, APT-C-36, Sea Turtle, VOID MANTICORE, Ember Bear, Volt Typhoon, APT42, BlackByte, Moonstone Sleet, Winter Vivern, CURIUM, Contagious Interview"
Web Services,2022,2024,13,"Earth Lusca, Saint Bear, TA578, Magic Hound, POLONIUM, FIN7, CURIUM, Kimsuky, Winter Vivern, TA2541, Confucius, LazyScripter, APT28"
Web Shell,2021,2023,13,"Volatile Cedar, HAFNIUM, Volt Typhoon, FIN13, APT29, Tonto Team, Magic Hound, Sandworm Team, Moses Staff, APT38, Dragonfly, APT28, BackdoorDiplomacy"
Windows Management Instrumentation,2021,2023,13,"Sandworm Team, Gamaredon Group, Windshift, Magic Hound, Volt Typhoon, Naikon, Mustang Panda, Cinnamon Tempest, FIN7, Indrik Spider, FIN13, Earth Lusca, TA2541"
Windows Management Instrumentation,2023,2025,13,"Ember Bear, Lotus Blossom, Volt Typhoon, Velvet Ant, Cinnamon Tempest, Medusa Group, ToddyCat, INC Ransom, FIN13, APT42, Aquatic Panda, TA2541, BlackByte"
Archive via Utility,2019,2021,12,"Chimera, APT41, Fox Kitten, Turla, MuddyWater, Mustang Panda, APT33, HAFNIUM, APT28, APT39, Gallmaker, GALLIUM"
Archive via Utility,2024,2026,12,"ToddyCat, Sea Turtle, APT5, Lotus Blossom, RedCurl, MirrorFace, Akira, VOID MANTICORE, Agrius, INC Ransom, UNC3886, Play"
Command Obfuscation,2018,2020,12,"Silence, Cobalt Group, Chimera, MuddyWater, Leafminer, FIN6, Turla, Wizard Spider, Patchwork, FIN8, GOLD SOUTHFIELD, FIN7"
Command Obfuscation,2021,2023,12,"Aquatic Panda, Gamaredon Group, HEXANE, TA505, Sidewinder, Sandworm Team, TA551, Fox Kitten, APT32, APT19, LazyScripter, Magic Hound"
Command Obfuscation,2023,2025,12,"Gamaredon Group, Contagious Interview, Kimsuky, TA505, Sidewinder, Play, Sandworm Team, Medusa Group, Fox Kitten, APT32, APT19, Magic Hound"
Credentials from Web Browsers,2018,2020,12,"APT37, Sandworm Team, Kimsuky, Inception, FIN6, MuddyWater, TA505, APT33, Stealth Falcon, OilRig, APT3, Leafminer"
Credentials from Web Browsers,2020,2022,12,"Sandworm Team, Inception, LAPSUS$, FIN6, APT33, Stealth Falcon, ZIRCONIUM, Ajax Security Team, OilRig, HEXANE, APT3, Leafminer"
DLL,2018,2020,12,"Naikon, RTM, APT32, APT19, Threat Group-3390, Patchwork, Tropic Trooper, GALLIUM, BRONZE BUTLER, APT3, APT41, Whitefly"
Data Encrypted for Impact,2023,2025,12,"FIN8, Magic Hound, BlackByte, INC Ransom, Storm-1811, Medusa Group, Scattered Spider, Sandworm Team, Storm-0501, Water Galura, Akira, Moonstone Sleet"
Deobfuscate/Decode Files or Information,2023,2025,12,"Winter Vivern, Agrius, Storm-1811, Volt Typhoon, FIN13, Malteiro, Mustang Panda, APT38, Moonstone Sleet, Cinnamon Tempest, BlackByte, FIN7"
Disable or Modify Tools,2022,2024,12,"INC Ransom, Akira, TA505, BlackByte, Saint Bear, Magic Hound, Aquatic Panda, TA2541, APT5, APT41, Play, Agrius"
Drive-by Compromise,2019,2021,12,"Transparent Tribe, Windshift, Leviathan, Windigo, RTM, APT38, PROMETHIUM, Andariel, Dragonfly, Machete, Darkhotel, Turla"
